customer_id,first_name,last_name,gender,email,phone_number,address,city,country
101,Reza,Jafari,M,reza.j@email.com,9.81235E+11,Tehran St. 123,Tehran,Iran
102,Sara,Mohammadi,F,sara.m@email.com,9.81235E+11,Valiasr St. 456,Tehran,Iran
103,Ali,Hashemi,M,ali.h@email.com,9.81235E+11,Enqelab St. 789,Isfahan,Iran
104,Maryam,Rahmani,F,maryam.r@email.com,9.81235E+11,Ferdowsi St. 12,Shiraz,Iran
105,Hossein,Ahmadi,M,hossein.a@email.com,9.81235E+11,Saadi St. 34,Tehran,Iran
106,Fatemeh,Golzar,F,fatemeh.g@email.com,9.81235E+11,Mellat St. 56,Tabriz,Iran
107,Saba,Gholami,F,saba.g@email.com,9.81235E+11,Ferdowsi St. 311,Shiraz,Iran
108,Leila,Rezai,F,leila.r@email.com,9.81235E+11,Enqelab St. 90,Shiraz,Iran
109,Amir,Ahmadi,M,amir.a@email.com,9.81235E+11,Saadi St. 123,Esfahan,Iran
110,Narges,Abbasi,F,narges.a@email.com,9.81235E+11,Valiasr St. 45,Tehran,Iran
111,Mehdi,Mousavi,M,mehdi.m@email.com,9.81235E+11,Ferdowsi St. 67,Tabriz,Iran
112,Sahar,Rostami,F,sahar.r@email.com,9.81235E+11,Mellat St. 89,Esfahan,Iran
113,Milad,Shirazi,M,milad.s@email.com,9.81235E+11,Shariati St. 10,Shiraz,Iran
114,Fariba,Hosseini,F,fariba.h@email.com,9.81235E+11,Saadi St. 111,Tabriz,Iran
115,Amin,Karimi,M,amin.k@email.com,9.81235E+11,Valiasr St. 121,Esfahan,Iran
116,Sima,Naderi,F,sima.n@email.com,9.81235E+11,Enqelab St. 131,Shiraz,Iran
117,Majid,Taghavi,M,majid.t@email.com,9.81235E+11,Mellat St. 141,Tehran,Iran
118,Sahar,Fallah,F,sahar.f@email.com,9.81235E+11,Ferdowsi St. 151,Tabriz,Iran
119,Behzad,Jalali,M,behzad.j@email.com,9.81235E+11,Shariati St. 161,Esfahan,Iran
